AHOL,ANTSOL,APLCAL,ATHE,BARNAC,BFRE,BRANCH,BROWN,BRYO,BUSHY,CAGG,CENCOR,COMTUN,CPUN,CRAGIG,CRUCOR,CYPSPA,CYSOSM,CYSOSMAD,DICTYOTALES,DIOCHA,EISARBAD,EJAC,EMOR,ENCRED,ERECOR,GNIG,HROS,HRUB,HSEM,KELKEL,KGB,LACY,LAMFAR,LAMSPP,LOPCHI,LYTANAAD,MACPYR_HF,MACPYRAD,MCAL,MEGCRE,MEGSPP,MEGUND,OCAL,OPIC,OYT,PACFIM,PANINT,PARPAR,PATMIN,PCLA,PISGIG,PTECALAD,RVAC,SATR,SJAP,SMYS,SPONGE,SPUL,SSAG,STRFRAAD,STRPURAD,TETAUR,TSYM,TUBEWORM,TURF
27,20,20,13,11,13,11,11,11,11,13,34,11,13,20,11,34,11,34,11,25,20,13,13,11,11,13,27,13,13,34,13,11,20,20,20,34,11,20,13,20,20,20,13,27,13,34,20,20,20,13,20,20,13,13,13,13,11,13,13,34,34,20,13,11,11
24,23,23,10,7,10,7,7,7,7,10,37,7,10,23,7,37,7,37,7,21,23,10,10,7,7,10,24,10,10,37,10,7,23,23,23,37,7,23,10,23,23,23,10,24,10,37,23,23,23,10,23,23,10,10,10,10,7,10,10,37,37,23,10,7,7
30,24,24,13,8,13,8,8,8,8,13,41,8,13,24,8,41,8,41,8,25,24,13,13,8,8,13,30,13,13,41,13,8,24,24,24,41,8,24,13,24,24,24,13,30,13,41,24,24,24,13,24,24,13,13,13,13,8,13,13,41,41,24,13,8,8
61,29,29,43,20,43,20,20,20,20,43,47,20,43,29,20,47,20,47,20,38,29,43,43,20,20,43,61,43,43,47,43,20,29,29,29,47,20,29,43,29,29,29,43,61,43,47,29,29,29,43,29,29,43,43,43,43,20,43,43,47,47,29,43,20,20
65,31,31,41,31,41,31,31,31,31,41,55,31,41,31,31,55,31,55,31,55,31,41,41,31,31,41,65,41,41,55,41,31,31,31,31,55,31,31,41,31,31,31,41,65,41,55,31,31,31,41,31,31,41,41,41,41,31,41,41,55,55,31,41,31,31
61,25,25,44,27,44,27,27,27,27,44,42,27,44,25,27,42,27,42,27,44,25,44,44,27,27,44,61,44,44,42,44,27,25,25,25,42,27,25,44,25,25,25,44,61,44,42,25,25,25,44,25,25,44,44,44,44,27,44,44,42,42,25,44,27,27
67,27,27,45,20,45,20,20,20,20,45,49,20,45,27,20,49,20,49,20,42,27,45,45,20,20,45,67,45,45,49,45,20,27,27,27,49,20,27,45,27,27,27,45,67,45,49,27,27,27,45,27,27,45,45,45,45,20,45,45,49,49,27,45,20,20
62,28,28,40,25,40,25,25,25,25,40,50,25,40,28,25,50,25,50,25,47,28,40,40,25,25,40,62,40,40,50,40,25,28,28,28,50,25,28,40,28,28,28,40,62,40,50,28,28,28,40,28,28,40,40,40,40,25,40,40,50,50,28,40,25,25
51,29,29,32,21,32,21,21,21,21,32,48,21,32,29,21,48,21,48,21,40,29,32,32,21,21,32,51,32,32,48,32,21,29,29,29,48,21,29,32,29,29,29,32,51,32,48,29,29,29,32,29,29,32,32,32,32,21,32,32,48,48,29,32,21,21
79,49,49,52,36,52,36,36,36,36,52,76,36,52,49,36,76,36,76,36,63,49,52,52,36,36,52,79,52,52,76,52,36,49,49,49,76,36,49,52,49,49,49,52,79,52,76,49,49,49,52,49,49,52,52,52,52,36,52,52,76,76,49,52,36,36
37,22,22,22,19,22,19,19,19,19,22,37,19,22,22,19,37,19,37,19,34,22,22,22,19,19,22,37,22,22,37,22,19,22,22,22,37,19,22,22,22,22,22,22,37,22,37,22,22,22,22,22,22,22,22,22,22,19,22,22,37,37,22,22,19,19
30,27,27,16,16,16,16,16,16,16,16,41,16,16,27,16,41,16,41,16,30,27,16,16,16,16,16,30,16,16,41,16,16,27,27,27,41,16,27,16,27,27,27,16,30,16,41,27,27,27,16,27,27,16,16,16,16,16,16,16,41,41,27,16,16,16
