"tree_ID";"year";"dbh_cm";"BAI_growth";"density_plot";"pollen_index";"cone_count";"resources_NPP_castanea"
234;2003;18.1118325238577;9.42097791264584;1200;3;0;5318.97073983881
234;2004;18.4938043872782;10.9816910733408;1200;4;0;8541.127655087
234;2005;18.9076072393172;12.1554587786434;1200;4;0;7956.54169265499
234;2006;19.225917125501;9.53338109120455;1200;NA;NA;6961.91388379135
2370;1999;23.1570442198708;NA;250;NA;NA;12240.6752042566
2370;2000;24.016480912567;31.8421294643956;250;NA;NA;12349.6607331997
2370;2001;24.7167626621713;26.803283966106;250;NA;NA;9856.63274299523
2370;2002;25.2260584800654;19.9771284568948;250;4;7;13630.8195393669
2370;2003;26.0377486898341;32.6806770708111;250;4;2;6956.00576511254
2370;2004;26.8971853825303;35.7310804988458;250;4;8;15212.137690945
2370;2005;27.6611291093714;32.7349886951409;250;4;3;11284.3320186342
2370;2006;28.297748881739;27.9794389955554;250;NA;NA;9860.04806674754
2371;1999;19.7670439320134;NA;1200;NA;NA;11989.0216752868
2371;2000;20.5150721645453;23.6657432067283;1200;NA;NA;11386.4674248536
2371;2001;21.247184902768;24.0132978137052;1200;NA;NA;9331.73526076
2371;2002;21.7883117092805;18.2900860601205;1200;0;6;12391.5995476368
2371;2003;22.2180300556286;14.8521403456568;1200;3;0;5351.4340366652
2371;2004;22.5681709304308;12.3162052711664;1200;3;5;9199.3703369856
2371;2005;23.1092977369432;19.4129241836339;1200;3;5;8544.80195007213
2371;2006;23.5867625662189;17.5110226136856;1200;NA;NA;6734.71767998835
242;1999;18.2550719726404;NA;1200;NA;NA;11553.5408471767
242;2000;19.0349311937907;22.840126939439;1200;NA;NA;10847.6082579959
242;2001;19.6397199775399;18.370459306382;1200;NA;NA;8627.43303421976
242;2002;20.1967622783615;17.4284609869568;1200;0;2;11615.9237474695
242;2003;20.5628186474729;11.7183795161774;1200;0;2;5358.00954979552
242;2004;21.2631003970772;23.0042554745025;1200;0;12;8797.74010999401
242;2005;21.5495792946426;9.63285293063706;1200;0;15;8184.08591291558
242;2006;21.8678891808264;10.8543671188672;1200;NA;NA;6919.05242674402
245;1999;25.273804962993;NA;250;NA;NA;13828.6196543963
245;2000;26.2287346215444;38.626904688403;250;NA;NA;13941.262948409
245;2001;27.0245093370038;33.2832774740928;250;NA;NA;11084.6447896207
245;2002;27.7247910866082;30.1121152329864;250;4;8;15255.5449195663
245;2003;28.6478897565412;40.8701936112834;250;4;7;7605.28470282715
245;2004;29.6028194150925;43.6880318787252;250;4;12;16919.1071546937
245;2005;30.4940870964071;42.0678345580498;250;4;18;12981.193984025
245;2006;31.1943688460115;33.9286507683303;250;NA;NA;11270.2829071043
248;1999;15.2311280538944;NA;1200;NA;NA;10568.7879568384
248;2000;15.8518323319528;15.1529431881004;1200;NA;NA;9757.4476916902
248;2001;16.456621115702;15.3465153876361;1200;NA;NA;7485.24766500331
248;2002;16.8704239677409;10.8312896521189;1200;2;0;10308.2061322748
248;2003;17.3160578083982;11.9652686216487;1200;3;0;5169.82050072821
248;2004;17.7298606604371;11.3899235023715;1200;2;1;8078.54674697804
248;2005;18.1436635124761;11.6588953561969;1200;0;0;7539.92214263231
248;2006;18.4619733986599;9.15140922778386;1200;NA;NA;6954.65718030724
249;1999;25.0350725483551;NA;250;NA;NA;13798.9954841374
249;2000;25.862678252433;33.0835380205122;250;NA;NA;13910.2578753425
249;2001;26.5629600020373;28.8341010399589;250;NA;NA;11059.2987459812
249;2002;27.0563403256222;20.777478876968;250;0;29;15222.7351926647
249;2003;27.8202840524633;32.9259746268514;250;0;1;7592.25957629227
249;2004;28.5842277793044;33.8427070990607;250;0;80;16884.4107835864
249;2005;29.2845095289087;31.8278055195171;250;0;87;12945.9621498883
249;2006;30.0166222671315;34.0981507827231;250;NA;NA;11240.0860041355
252;1999;22.4726779645756;NA;1200;NA;NA;12257.7947231857
252;2000;23.2843681743443;29.1701169135615;1200;NA;NA;11837.4984115578
252;2001;23.9369034410211;24.2009017028748;1200;NA;NA;9768.87068702851
252;2002;24.3666217873692;16.3024397645817;1200;4;0;12891.9779309062
252;2003;24.7326781564805;14.1160487338569;1200;4;0;5337.69295857916
252;2004;25.2419739743746;19.9898608523419;1200;4;1;9481.65736256113
252;2005;25.5602838605584;12.7005644587334;1200;4;0;8789.99744011502
252;2006;25.8149317695054;10.2750431260127;1200;NA;NA;6584.56933328076
257;1999;17.5866212116544;NA;1200;NA;NA;11209.0063089105
257;2000;18.302818455568;20.1878098128127;1200;NA;NA;10444.1052826826
257;2001;18.8439452620804;15.7873745800004;1200;NA;NA;8163.47264230189
257;2002;19.1622551482642;9.50155010258629;1200;4;0;11102.2075516213
257;2003;19.6397199775399;14.5507406721765;1200;4;0;5315.34774785599
257;2004;20.0216918409604;11.8984235455501;1200;4;0;8528.16849686799
257;2005;20.403663704381;12.1276066636023;1200;4;0;7944.93597352523
257;2006;20.658311613328;8.21239506354186;1200;NA;NA;6963.44393356154
