AHOL,ANTSOL,APLCAL,ATHE,BARNAC,BFRE,BRANCH,BROWN,BRYO,BUSHY,CAGG,CENCOR,COMTUN,CPUN,CRAGIG,CRUCOR,CYPSPA,CYSOSM,CYSOSMAD,DICTYOTALES,DIOCHA,EISARBAD,EJAC,EMOR,ENCRED,ERECOR,GNIG,HROS,HRUB,HSEM,KELKEL,KGB,LACY,LAMFAR,LAMSPP,LOPCHI,LYTANAAD,MACPYR_HF,MACPYRAD,MCAL,MEGCRE,MEGSPP,MEGUND,OCAL,OPIC,OYT,PACFIM,PANINT,PARPAR,PATMIN,PCLA,PISGIG,PTECALAD,RVAC,SATR,SJAP,SMYS,SPONGE,SPUL,SSAG,STRFRAAD,STRPURAD,TETAUR,TSYM,TUBEWORM,TURF
0,0,0,17,0,68,5,0,11,3,0,14,1,40,11,14,0,26,528,4,0,26,14,0,4,7,13,9,1,1,2,0,1,155,0,7,0,0,45,5,6,0,38,171,0,1,81,0,130,0,13,1,1,31,0,0,0,1,9,0,179,25,1,0,0,2
4,1,4,45,0,21,0,8,3,0,221,0,2,117,1,31,26,2,37,5,0,13,22,0,6,21,6,18,10,0,0,0,1,64,0,0,0,1,62,1,9,0,87,11,3,0,0,1,59,3,9,7,0,6,1,0,0,1,0,0,566,426,0,0,23,2
3,0,4,131,0,19,1,1,10,0,0,0,1,23,1,39,9,4,171,0,0,4,14,0,11,9,2,63,2,1,1,1,4,4,0,0,0,0,38,0,6,0,123,50,1,2,16,0,131,9,16,3,0,3,2,0,0,0,1,0,388,68,0,0,3,2
20,0,0,0,2,0,4,5,5,3,0,297,1,548,3,102,3,0,7,14,0,0,17,0,5,0,10,0,11,1,1,0,14,0,0,52,0,0,0,4,9,0,4,50,5,0,7,12,133,100,5,10,0,0,0,0,0,0,4,0,249,100,0,0,22,5
5,0,0,270,0,0,0,0,3,12,0,28,2,114,7,41,0,1,11,0,1,0,4,0,8,3,3,0,4,1,0,0,2,0,0,1,0,0,13,0,1,0,45,61,0,0,5,0,12,7,3,1,0,0,0,0,0,0,2,0,221,7768,0,250,6,0
24,0,3,0,0,0,0,1,2,6,0,137,0,63,2,62,0,0,0,0,0,0,2,0,0,0,0,0,4,1,1,0,0,0,0,0,22,0,0,0,4,0,12,6,6,0,14,4,64,18,4,16,0,0,0,0,0,0,1,0,632,1697,0,0,3,5
1,1,13,0,3,0,0,1,4,8,0,76,0,171,10,31,5,0,0,0,0,0,9,0,0,0,3,0,18,2,0,0,0,0,0,0,2,0,0,0,0,0,18,0,1,0,3,0,10,2,3,7,0,0,0,0,0,0,2,0,333,8750,1,0,7,24
2,0,47,0,0,0,0,0,1,2,0,18,1,67,8,47,9,0,0,0,0,0,5,0,1,0,3,0,8,0,0,0,0,0,0,0,4,0,0,3,0,0,11,0,1,0,3,0,16,13,7,6,0,0,0,0,1,0,0,0,3452,8136,0,0,6,13
0,10,0,0,0,7,12,0,17,8,0,3,11,0,46,4,3,5,142,2,0,157,14,0,3,27,8,3,9,1,0,0,5,190,0,0,0,3,57,2,2,0,3,20,0,0,0,5,20,0,9,10,0,1,2,0,0,3,1,0,195,51,1,0,0,4
0,0,0,0,0,17,1,0,25,1,0,12,9,310,8,6,0,6,422,3,3,34,23,0,3,31,14,4,8,2,1,0,0,209,0,4,0,2,41,1,0,0,6,8,0,1,9,0,124,1,17,0,0,1,2,0,0,2,11,0,178,25,0,0,1,4
2,4,0,0,0,35,11,0,13,5,0,14,14,15,21,7,1,1,30,6,0,138,12,0,6,14,4,5,17,0,3,0,4,167,0,1,0,2,24,1,7,0,2,36,0,0,0,0,72,0,9,4,0,1,1,0,0,9,10,0,235,43,3,0,2,7
2,1,0,15,0,143,4,0,15,0,0,10,2,167,9,20,0,5,146,2,0,18,21,0,2,6,10,12,2,5,0,0,1,188,0,4,0,1,27,0,3,0,6,43,0,0,11,0,166,1,44,2,1,1,10,0,0,13,8,0,305,21,0,0,1,7
1,3,0,0,0,23,3,0,16,2,40,0,7,8,13,17,3,4,198,5,0,57,25,0,8,24,7,8,2,1,0,1,0,113,0,0,0,4,117,2,3,0,125,15,3,0,0,0,33,0,18,4,0,3,1,0,0,0,7,0,327,143,0,0,11,0
2,1,0,9,0,12,0,0,15,0,15,1,5,113,2,31,0,5,342,16,1,1,16,0,7,5,15,5,8,5,0,0,0,15,0,2,0,0,81,1,4,0,65,5,0,0,10,3,101,1,22,1,0,0,2,0,0,1,5,0,422,2,1,0,1,1
4,0,11,0,12,0,0,0,4,4,0,282,1,321,7,130,0,0,5,3,2,0,3,0,8,0,33,0,5,8,0,0,0,0,0,40,12,0,5,20,3,0,13,61,1,0,59,1,94,36,39,7,0,0,0,0,0,0,7,0,791,3488,0,0,3,5
